
10pin,Bowling
found,gefunden
fountain,Springbrunnen
free_flying,Freeflying
fuel,Tankstelle
full-height_turnstile,hohes Drehkreuz
funeral_directors,Bestatter
funicular,Seilbahn
furniture,Möbelgeschäft
gaelic_games,Gaelic games
gallery,Galerie
garage,Garage
garden_centre,Gartencenter
garden,Garten
gasometer,Gasometer
gate,Tor
general,Gemischtwarenladen
geyser,Geysir
gift,Geschenkeladen
glacier,Gletscher
glaziery,Glaserei
golf_course,Golfplatz
golf,Golf
government,Dienststelle
grassland,Grasland
grass,Rasenfläche
grave_yard,Friedhof
greenfield,unbebaute Fläche
greengrocer,Obst- und Gemüsehandlung
grit_bin,Streugutbehälter
grocery,Lebensmittelladen
groyne,Buhne
guest_house,Gästehaus
gymnastics,Gymnastik
gym,Turnhalle
hackerspace,Hackerspace
hairdresser,Frisör
hall,Halle
halt,Haltepunkt
harbour,Hafen
hardware,Eisenwarenhandlung
health_centre,Gesundheitszentrum
hearing_aids,Hörgeräteakustiker
heath,Heide
hedge,Hecke
helipad,Hubschrauberlandeplatz
hifi,Unterhaltungselektronikladen
hill,Erhebung
historic_station,historischer Bahnhof
hockey,Hockey
horse_racing,Pferderennen
horseshoes,Hufeisenwerfen
horse_stile,Zaunübertritt für Pferde
hospital,Krankenhaus
hostel,Jugendherberge
hotel,Hotel
house,Haus
house,historisches Haus
houses,Häuser
hunting_stand,Hochsitz
ice_cream,Eisdiele
ice_rink,Eislaufplatz
ice_stock,Eisstockschießen
icon,Symbol
industrial,Industriegebiet
information,Touristen-Information
insurance,Versicherungsbüro
islet,Inselchen
it,IT
jewelry,Juwelier
judo,Judo
junction,Bahnknotenpunkt
karting,Kartsport
key_cutter,Schlüsselmacher
kiln,Brennofen
kindergarten,Kindergarten
kiosk,Kiosk
kissing_gate,Kissing gate
korfball,Korfball
lake,See
landfill,Müllhalde
land,Land
landmark,Landmarke
laundry,Waschsalon
lava,Lava
lawyer,Rechtsanwalt
lean_to,Anbau
level_crossing,Eisenbahnkreuzung
library,Bücherei
life_ring,Rettungsring
lift_gate,Schranke
lighthouse,Leuchtturm
light_rail,Straßenbahn
living_street,Spielstraße
lock_gate,Schleusentor
lock,Schleuse
mall,Einkaufszentrum
manor,Gut
marina,Yachthafen
market,Markt
marketplace,Marktplatz
marsh,Marschland
massage,Massage
mast,Mast
meadow,Wiese
memorial,Denkmal
military,Militärgebiet
mine,Bergwerk
mine,historisches Bergwerk
mineral_spring,Mineralquelle
mineshaft,Schacht
miniature_golf,Minigolf
minor,Nebenstraße
mobile_phone,Handygeschäft
monastery,Kloster
money_lender,Geldverleiher
money_transfer,Geldtransfer
monitoring_station,Messstation
monorail,Einschienenbahn
monument,Monument
mooring,Anlegeplatz
moor,Moor
motel,Motel
motorcycle,Motorradgeschäft
motorcycle_parking,Motorradparkplatz
motor,Motorsport
motorway,Autobahn
motorway_junction,Autobahnkreuz
motorway_link,Autobahnauffahrt
mountain,Berg
mountain_rescue,Bergrettung
mud,Schlamm
multi,Mehrfachsport
municipality,Gemeinde
museum,Museum
music,Musikladen
narrow_gauge,Schmalspurbahn
nature_reserve,Naturschutzgebiet
naval_base,Marinestützpunkt
newsagent,Zeitschriftenladen
ngo,Nichtregierungsorganisation
nightclub,Nachtklub
notary,Notar
nursery,Kinderkrippe
nursing_home,Pflegeheim
obelisk,Obelisk
observatory,Observatorium
office,Büro
optician,Optiker
orchard,Obstplantage
organic,Bioladen
orienteering,Orientierungslauf
outdoor,Outdoorladen
paddle_tennis,Paddle-Tennis
paragliding,Gleitschirmfliegen
parking,Parkplatz
parking_space,einzelner Parkplatz
park,Park
